SAMPLE SCRATCH PINS (first 15 of 110 for Primary+Secondary)
PIN  AdmNo  Student  Class
4645280457  GA20260161  Kemi Okafor  JSS1
8481835178  GA20260162  Ifeanyi Okonkwo  JSS1
3472177261  GA20260163  Chika Balogun  JSS1
0593420230  GA20260164  Ebele Oyelaran  JSS1
0463953417  GA20260165  Ngozi Muhammed  JSS1
0459751683  GA20260166  Ngozi Uzoma  JSS1
7752727195  GA20260167  Maryam Eze  JSS1
0461947642  GA20260168  Kehinde Johnson  JSS1
1936628337  GA20260169  Yemi Ibrahim  JSS1
6996796808  GA20260170  Ebele Afolabi  JSS2
8452838086  GA20260171  Hannah Nwosu  JSS2
1806091081  GA20260172  Damilola Lawal  JSS2
0812603832  GA20260173  Victor Adeyemi  JSS2
7971633399  GA20260174  Umar Obasi  JSS2
7398012305  GA20260175  Peter Chukwu  JSS2

Full PIN list lives in Firestore: collection scratchPins.
